epsilon,zeta,qm_energy,energy_rel
60,300,-1142.567183415,5.65153367920392
60,315,-1142.565356897,6.797690162956
60,330,-1142.563174653,8.167067913069584
60,345,-1142.562531156,8.570868072077413
60,360,-1142.563821309,7.761285453120563
75,15,-1142.557301868,11.852293355675403
75,30,-1142.556929782,12.085780669430763
75,45,-1142.563272047,8.105952301509667
75,60,-1142.566075958,6.346472913810114
75,75,-1142.568353132,4.917525734226528
75,90,-1142.570965782,3.278064345410181
75,105,-1142.567592481,5.394841082625796
75,120,-1142.565049634,6.990500460802832
75,135,-1142.566723145,5.940357246681598
75,150,-1142.56587228,6.4742826920136105
75,165,-1142.566867952,5.849489550937637
75,180,-1142.567937811,5.178143399610074
75,195,-1142.568273256,4.967648643093272
75,210,-1142.568222094,4.999753258608186
75,225,-1142.56803268,5.118612248354981
75,240,-1142.567978104,5.152859179483334
75,255,-1142.568314041,4.942055688664584
75,270,-1142.568846271,4.6080765735382085
75,285,-1142.568716157,4.68972427960048
75,300,-1142.568675615,4.715164749385285
75,315,-1142.565051032,6.989623203224046
75,330,-1142.566442901,6.116212878812275
75,345,-1142.565653662,6.611467454552135
75,360,-1142.562991803,8.281807933783023
90,15,-1142.553948948,13.956280831953858
90,30,-1142.559605846,10.406526424810677
90,45,-1142.562813102,8.393944419509156
90,60,-1142.565170531,6.914636505237386
90,75,-1142.568408662,4.882680159565193
90,90,-1142.567653888,5.356307637478115
90,105,-1142.563059782,8.239150499440397
90,120,-1142.563075918,8.22902501414551
90,135,-1142.563247583,8.121303681707404
90,150,-1142.564136818,7.563300716135432
90,165,-1142.567245266,5.612721620010434
90,180,-1142.567411943,5.508130302464701
90,195,-1142.568250161,4.982140963566132
90,210,-1142.567802826,5.262847702074754
90,225,-1142.56647124,6.09842990127243
90,240,-1142.565573193,6.66196247617297
90,255,-1142.565689807,6.58878614176766
90,270,-1142.56654812,6.050187009320138
90,285,-1142.568157449,5.040318577954517
90,300,-1142.566801549,5.8911580309966025
90,315,-1142.568726762,4.6830695465485075
90,330,-1142.567497077,5.454707951212519
90,345,-1142.562660556,8.489668407411331
90,360,-1142.555529664,12.964367315487925
105,15,-1142.564896119,7.086832504916127
105,30,-1142.56655103,6.048360958179693
105,45,-1142.56232338,8.701249382076945
105,60,-1142.565754586,6.5481367362485
105,75,-1142.573959276,1.399619918922912
105,90,-1142.572691319,2.195274348167192
105,105,-1142.570775881,3.397228932089784
105,120,-1142.572445382,2.349602028985851
105,135,-1142.572757667,2.153640381023596
105,150,-1142.571734937,2.795412660550593
105,165,-1142.57342536,1.734657014163687
105,180,-1142.573408803,1.745046680807331
105,195,-1142.573014677,1.992364292907748
105,210,-1142.572451444,2.3457980694207614
105,225,-1142.570722108,3.4309719735408493
105,240,-1142.572853038,2.0937942201575583
105,255,-1142.561690519,9.098375355316843
105,270,-1142.563015721,8.26679917344292
105,285,-1142.565801799,6.518510153821334
105,300,-1142.566789802,5.8985293793100695
105,315,-1142.562786941,8.410360682489975
105,330,-1142.569589896,4.141445193387486
105,345,-1142.566786,5.900915168408901
105,360,-1142.56553008,6.689016271799373
120,15,-1142.564357386,7.424892311003625
120,30,-1142.560723108,9.705434464465387
120,45,-1142.563811116,7.767681652487732
120,60,-1142.566416169,6.1329874494951815
120,75,-1142.565000267,7.021478697589615
