zeta,alpha,qm_energy,energy_rel
45,315,-1142.557214016,11.935184157046914
45,330,-1142.552828671,14.687027612618046
45,345,-1142.551949008,15.239024062071167
60,0,-1142.55983618,10.289752647534176
60,15,-1142.563195675,8.181639299553684
60,30,-1142.565022648,7.035197299372475
60,45,-1142.570187558,3.7941697901348435
60,60,-1142.572909224,2.086299880096667
60,75,-1142.573400664,1.7779168571961568
60,90,-1142.573967129,1.4224549714986763
60,105,-1142.573088761,1.9736387968298812
60,120,-1142.573149443,1.9355602957470712
60,135,-1142.573028034,2.011745535947101
60,150,-1142.572821551,2.1413154766867653
60,165,-1142.573024771,2.013793097704847
60,180,-1142.573405608,1.774814452693151
60,195,-1142.573592237,1.6577030755779265
60,210,-1142.573607581,1.648074577434326
60,225,-1142.572283124,2.4791832650534227
60,240,-1142.572508675,2.337647982541063
60,255,-1142.571987156,2.6649058487941826
60,270,-1142.570002366,3.9103794369364127
60,285,-1142.566595901,6.047966882557509
60,300,-1142.564432483,7.405531148325274
60,315,-1142.559837781,10.288748005691417
60,330,-1142.558037504,11.418438025702855
60,345,-1142.557823839,11.55251473607442
75,0,-1142.564159569,7.576787139618128
75,15,-1142.565195917,6.926469442441841
75,30,-1142.567692017,5.360144227594161
75,45,-1142.570972568,3.301568950142115
75,60,-1142.573265005,1.8630441006771148
75,75,-1142.57382516,1.5115417967004254
75,90,-1142.573674897,1.605833181581976
75,105,-1142.573455399,1.7435701520505205
75,120,-1142.573674932,1.6058112188565625
75,135,-1142.57325756,1.867715905142854
75,150,-1142.572880435,2.10436523683918
75,165,-1142.573028593,2.0113947584160594
75,180,-1142.573377606,1.792385959796197
75,195,-1142.573463532,1.7384666213927298
75,210,-1142.573278832,1.854367533749672
75,225,-1142.572014048,2.6480308767343095
75,240,-1142.572410388,2.3993239597044087
75,255,-1142.572258517,2.4946243790879423
75,270,-1142.571026008,3.2680348691183942
75,285,-1142.569533671,4.20448976761695
75,300,-1142.568212977,5.033237138872083
75,315,-1142.564196514,7.553603819520777
75,330,-1142.563362728,8.076812038693602
75,345,-1142.563051271,8.272254109276794
90,0,-1142.564324273,7.473433897220044
90,15,-1142.56502942,7.030947808420651
90,30,-1142.567311375,5.599000508360796
90,45,-1142.570365333,3.6826143777328255
90,60,-1142.572675784,2.23278558112057
90,75,-1142.573141641,1.940456120982245
90,90,-1142.572734469,2.1959602155275
90,105,-1142.573082319,1.9776812098614527
90,120,-1142.573207147,1.8993505163934854
90,135,-1142.572445671,2.3771835596647257
90,150,-1142.571957707,2.6833853613772014
90,165,-1142.572007216,2.6523180182560013
90,180,-1142.572195537,2.5341448958695145
90,195,-1142.572068338,2.6139634131368417
90,210,-1142.571710038,2.8387998878470344
90,225,-1142.5701824,3.7974064815705013
90,240,-1142.570957052,3.311305379691049
90,255,-1142.571474473,2.9866190453766444
90,270,-1142.57138337,3.0437869979033616
90,285,-1142.570664782,3.494707435149533
90,300,-1142.569582514,4.173840345493118
90,315,-1142.567474843,5.496422867159804
90,330,-1142.566401229,6.170125314689741
90,345,-1142.564988517,7.056614808984346
105,0,-1142.56473632,7.214870696262926
105,15,-1142.565296156,6.863568567823166
105,30,-1142.567371475,5.561287217363397
105,45,-1142.570129152,3.8308200808562534
105,60,-1142.572033413,2.6358791649047264
105,75,-1142.572167973,2.551441553940939
105,90,-1142.573252785,1.8707122606049384
105,105,-1142.572574304,2.2964651944481558
105,120,-1142.572797826,2.1562031277865374
105,135,-1142.572714811,2.208295787404516
105,150,-1142.571186797,3.167138324442331
105,165,-1142.571032458,3.2639874360679118
