alpha,gamma,qm_energy,energy_rel
45,135,-1142.55997376,10.820240598391235
45,150,-1142.561380285,9.937633502170595
45,165,-1142.562690888,9.115218324328124
45,180,-1142.563035679,8.898858868653488
45,195,-1142.563161749,8.819748808974246
45,210,-1142.561578481,9.813263728451506
45,225,-1142.560677137,10.378865200475522
45,240,-1142.565678559,7.240427882771517
45,255,-1142.561641245,9.773878753607313
45,270,-1142.567557058,6.061652853789413
45,285,-1142.567908108,5.841365819299899
45,300,-1142.570577869,4.166066763884058
45,315,-1142.569107807,5.088543899555264
45,330,-1142.566177793,6.927154054654744
45,345,-1142.565516489,7.342128266393723
60,0,-1142.568306552,5.591338623313932
60,15,-1142.569954312,4.557354393493441
60,30,-1142.571684089,3.4719037579773184
60,45,-1142.574076971,1.9703487669799016
60,60,-1142.572978899,2.6593988296933926
60,75,-1142.570135606,4.443590776873706
60,90,-1142.566157537,6.939864876940349
60,105,-1142.561765343,9.696006141716037
60,120,-1142.561457866,9.888950726495521
60,135,-1142.562277712,9.374489982873328
60,150,-1142.563708728,8.476514563748447
60,165,-1142.565580413,7.302015381102807
60,180,-1142.564881242,7.740751476111118
60,195,-1142.565005628,7.662698141541549
60,210,-1142.563369645,8.689292197977657
60,225,-1142.562392275,9.302600669228084
60,240,-1142.566978195,6.424894595976912
60,255,-1142.567800148,5.909111690891561
60,270,-1142.568902941,5.217099158271671
60,285,-1142.571167594,3.7960090189676086
60,300,-1142.572389566,3.0292105911149934
60,315,-1142.570797578,4.028197388989953
60,330,-1142.568394577,5.536102143608898
60,345,-1142.567876025,5.861498190516116
75,0,-1142.568496531,5.472125091021913
75,15,-1142.57002454,4.513285691353238
75,30,-1142.572672419,2.8517177880528926
75,45,-1142.574507121,1.7004257707371084
75,60,-1142.57333597,2.435333563521065
75,75,-1142.570679174,4.1024969647542555
75,90,-1142.567495963,6.099990516059391
75,105,-1142.561603162,9.797776178814024
75,120,-1142.561970035,9.567560069409693
75,135,-1142.562170685,9.441650388624328
75,150,-1142.563993415,8.297870909080666
